DHID,Azimuth,Inclination,Depth
DDH005,15.1,-54.4,20.0
DDH005,15.3,-54.3,25.0
DDH005,15.2,-54.4,30.0
DDH005,15.3,-54.4,35.0
DDH005,15.2,-54.4,40.0
DDH005,15.1,-54.2,45.0
DDH005,15.1,-54.3,50.0
DDH005,15.4,-54.4,55.0
DDH005,15.1,-54.6,60.0
DDH005,15.2,-54.2,65.0
DDH005,15.0,-54.4,70.0
DDH005,15.1,-54.5,75.0
DDH005,15.2,-54.3,80.0
DDH006,348.8,-68.4,0.0
DDH006,348.8,-68.2,5.0
DDH006,348.6,-68.3,10.0
DDH006,348.7,-68.4,15.0
DDH006,348.9,-68.3,20.0
DDH006,348.7,-68.5,25.0
DDH006,348.7,-68.2,30.0
DDH006,348.9,-68.4,35.0
DDH006,348.9,-68.2,40.0
DDH006,348.9,-68.4,45.0
DDH006,348.8,-68.4,50.0
DDH006,348.7,-68.1,55.0
DDH006,348.7,-68.3,60.0
DDH006,348.7,-68.5,65.0
DDH006,348.7,-68.4,70.0
DDH006,348.9,-68.2,75.0
DDH006,348.8,-68.3,80.0
DDH006,348.6,-68.5,85.0
DDH006,348.9,-68.4,90.0
DDH006,348.6,-68.4,95.0
DDH006,348.9,-68.2,100.0
DDH006,348.7,-68.3,105.0
DDH006,348.7,-68.3,110.0
DDH006,348.9,-68.3,115.0
DDH006,348.8,-68.3,120.0
DDH006,348.8,-68.5,125.0
DDH007,357.0,-74.7,0.0
DDH007,357.0,-74.6,5.0
DDH007,356.9,-74.5,10.0
DDH007,357.2,-74.6,15.0
DDH007,357.0,-74.6,20.0
DDH007,356.9,-74.7,25.0
DDH007,356.9,-74.8,30.0
DDH007,357.2,-74.7,35.0
DDH007,357.0,-74.7,40.0
DDH007,357.1,-74.6,45.0
DDH007,357.1,-74.8,50.0
DDH007,357.1,-74.9,55.0
DDH007,356.8,-74.7,60.0
DDH007,356.9,-74.8,65.0
DDH007,357.0,-74.8,70.0
DDH007,357.1,-75.0,75.0
DDH007,357.1,-75.0,80.0
DDH007,357.2,-74.9,85.0
DDH007,357.1,-74.9,90.0
DDH007,356.9,-74.7,95.0
DDH007,357.0,-75.0,100.0
DDH007,357.1,-75.0,105.0
DDH007,357.1,-74.8,110.0
DDH007,357.1,-74.9,115.0
DDH007,357.0,-74.9,120.0
DDH007,356.9,-74.8,125.0
DDH007,356.8,-74.8,130.0
DDH008,4.0,-47.2,0.0
DDH008,4.1,-47.3,5.0
DDH008,4.0,-47.2,10.0
DDH008,4.2,-47.1,15.0
DDH008,4.1,-47.3,20.0
DDH008,3.8,-47.3,25.0
DDH008,3.9,-47.3,30.0
DDH008,3.9,-47.2,35.0
DDH008,3.9,-47.3,40.0
DDH008,3.8,-47.3,45.0
DDH008,4.2,-47.1,50.0
DDH008,4.2,-47.3,55.0
DDH008,4.2,-47.2,60.0
DDH008,3.9,-47.1,65.0
DDH008,3.9,-47.2,70.0
DDH008,4.0,-47.1,75.0
DDH008,4.1,-47.4,80.0
DDH008,4.3,-47.2,85.0
DDH008,4.2,-47.3,90.0
DDH008,4.2,-47.3,95.0
DDH008,4.2,-47.1,100.0
DDH008,4.2,-47.2,105.0
DDH009,343.2,-60.5,0.0
DDH009,343.2,-60.5,5.0
DDH009,343.4,-60.8,10.0
DDH009,343.2,-60.6,15.0
DDH009,343.2,-60.8,20.0
DDH009,343.5,-60.6,25.0
DDH009,343.5,-60.8,30.0
DDH009,343.5,-60.7,35.0
DDH009,343.4,-60.6,40.0
DDH009,343.5,-60.9,45.0
DDH009,343.6,-60.7,50.0
DDH009,343.5,-60.7,55.0
DDH009,343.2,-60.7,60.0
DDH009,343.5,-60.9,65.0
DDH009,343.4,-60.6,70.0
DDH009,343.2,-60.8,75.0
DDH009,343.2,-60.7,80.0
DDH009,343.5,-60.8,85.0
DDH009,343.4,-60.8,90.0
DDH009,343.2,-61.0,95.0
DDH009,343.3,-60.7,100.0
DDH009,343.3,-61.0,105.0
DDH009,343.2,-61.0,110.0
DDH009,343.5,-61.0,115.0
DDH009,343.4,-61.1,120.0
DDH009,343.4,-60.9,125.0
DDH009,343.2,-61.1,130.0
DDH010,344.8,-75.5,0.0
DDH010,344.9,-75.6,5.0
DDH010,344.8,-75.4,10.0
DDH010,344.6,-75.3,15.0
DDH010,344.6,-75.5,20.0
DDH010,344.7,-75.6,25.0
DDH010,344.7,-75.5,30.0
DDH010,345.0,-75.5,35.0
DDH010,344.7,-75.3,40.0
DDH010,344.7,-75.4,45.0
DDH010,345.0,-75.5,50.0
DDH010,345.0,-75.3,55.0
DDH010,344.9,-75.5,60.0
DDH010,345.0,-75.4,65.0
DDH010,344.8,-75.5,70.0
DDH010,345.0,-75.6,75.0
DDH010,345.0,-75.5,80.0
DDH010,344.7,-75.6,85.0
DDH010,344.7,-75.3,90.0
DDH010,345.0,-75.5,95.0
DDH010,344.7,-75.5,100.0
DDH010,344.7,-75.5,105.0
DDH010,344.9,-75.4,110.0
DDH010,344.8,-75.3,115.0
DDH010,344.9,-75.5,120.0
DDH010,345.1,-75.4,125.0
DDH010,344.8,-75.2,130.0
DDH010,344.9,-75.4,135.0
DDH010,344.8,-75.3,140.0
DDH011,303.0,-81.4,0.0
DDH011,303.1,-81.5,5.0
DDH011,303.1,-81.8,10.0
DDH011,303.2,-81.5,15.0
DDH011,303.0,-81.7,20.0
DDH011,303.2,-81.5,25.0
DDH011,302.9,-81.6,30.0
DDH011,303.0,-81.5,35.0
DDH011,303.2,-81.6,40.0
DDH011,303.3,-81.7,45.0
DDH011,303.0,-81.8,50.0
DDH011,302.9,-81.8,55.0
DDH011,303.2,-81.8,60.0
DDH011,303.1,-81.7,65.0
DDH011,303.0,-81.7,70.0
DDH011,303.3,-81.5,75.0
DDH011,303.0,-81.8,80.0
DDH011,303.0,-81.7,85.0
DDH011,303.3,-81.7,90.0
DDH011,303.0,-81.6,95.0
DDH011,303.2,-81.6,100.0
DDH011,303.2,-81.9,105.0
DDH011,303.3,-81.8,110.0
DDH011,303.3,-81.9,115.0
DDH011,303.0,-81.8,120.0
DDH011,303.4,-81.9,125.0
DDH011,303.2,-81.9,130.0
DDH011,303.2,-81.6,135.0
DDH011,303.4,-81.7,140.0
DDH011,303.3,-81.7,145.0
DDH012,33.8,-64.4,0.0
DDH012,33.7,-64.3,5.0
DDH012,33.7,-64.3,10.0
DDH012,33.8,-64.5,15.0
DDH012,33.8,-64.4,20.0
DDH012,33.6,-64.2,25.0
DDH012,33.8,-64.5,30.0
DDH012,33.6,-64.3,35.0
DDH012,33.9,-64.2,40.0
DDH012,33.7,-64.3,45.0
DDH012,33.6,-64.3,50.0
DDH012,33.7,-64.1,55.0
DDH012,33.7,-64.1,60.0
DDH012,33.9,-64.3,65.0
DDH012,33.8,-64.4,70.0
DDH012,33.8,-64.4,75.0
DDH012,34.0,-64.1,80.0
DDH012,33.9,-64.2,85.0
DDH012,33.7,-64.0,90.0
DDH012,33.7,-64.0,95.0
DDH012,33.9,-64.3,100.0
DDH012,33.7,-64.1,105.0
DDH013,321.5,-81.1,0.0
DDH013,321.5,-81.1,5.0
DDH013,321.5,-80.7,10.0
DDH013,321.4,-81.1,15.0
DDH013,321.4,-80.8,20.0
DDH013,321.4,-80.9,25.0
DDH013,321.3,-80.9,30.0
DDH013,321.2,-80.9,35.0
DDH013,321.2,-81.1,40.0
DDH013,321.3,-81.1,45.0
DDH013,321.2,-81.0,50.0
DDH013,321.2,-80.9,55.0
DDH013,321.3,-81.2,60.0
DDH013,321.5,-80.9,65.0
DDH013,321.5,-81.1,70.0
DDH013,321.5,-81.1,75.0
DDH013,321.2,-81.2,80.0
DDH013,321.3,-81.1,85.0
DDH013,321.2,-81.1,90.0
DDH013,321.5,-81.0,95.0
DDH013,321.2,-81.3,100.0
DDH013,321.4,-81.0,105.0
DDH013,321.4,-81.3,110.0
DDH013,321.4,-81.2,115.0
DDH013,321.2,-81.3,120.0
DDH013,321.3,-81.0,125.0
DDH013,321.3,-81.4,130.0
DDH013,321.2,-81.4,135.0
DDH013,321.3,-81.2,140.0
DDH014,72.7,-74.3,0.0
DDH014,72.8,-74.2,5.0
DDH014,72.9,-74.5,10.0
DDH014,73.1,-74.2,15.0
DDH014,72.8,-74.4,20.0
DDH014,72.8,-74.3,25.0
DDH014,72.8,-74.3,30.0
DDH014,73.0,-74.1,35.0
DDH014,73.0,-74.2,40.0
DDH014,73.0,-74.4,45.0
DDH014,73.1,-74.3,50.0
DDH014,72.9,-74.0,55.0
DDH014,73.1,-74.4,60.0
DDH014,72.9,-74.1,65.0
DDH014,72.8,-74.3,70.0
DDH014,73.0,-74.3,75.0
DDH014,73.0,-74.2,80.0
DDH014,72.9,-74.2,85.0
DDH015,36.1,-62.6,0.0
DDH015,36.4,-62.6,5.0
DDH015,36.1,-62.8,10.0
DDH015,36.2,-62.5,15.0
DDH015,36.2,-62.8,20.0
DDH015,36.4,-62.6,25.0
DDH015,36.2,-62.6,30.0
DDH015,36.2,-62.9,35.0
DDH015,36.1,-62.6,40.0
DDH015,36.3,-62.7,45.0
DDH015,36.3,-62.9,50.0
DDH015,36.3,-62.8,55.0
DDH015,36.2,-62.8,60.0
DDH015,36.3,-62.9,65.0
DDH015,36.3,-62.9,70.0
DDH015,36.1,-62.7,75.0
DDH016,69.4,-77.6,0.0
DDH016,69.5,-77.6,5.0
DDH016,69.7,-77.9,10.0
DDH016,69.5,-77.7,15.0
DDH016,69.5,-77.8,20.0
DDH016,69.8,-77.5,25.0
DDH016,69.5,-77.8,30.0
DDH016,69.5,-77.9,35.0
DDH016,69.5,-77.6,40.0
DDH016,69.6,-77.7,45.0
DDH016,69.8,-77.5,50.0
DDH016,69.6,-77.7,55.0
DDH016,69.4,-77.7,60.0
DDH016,69.5,-77.8,65.0
DDH016,69.5,-77.7,70.0
DDH016,69.7,-77.6,75.0
DDH016,69.7,-77.9,80.0
DDH016,69.5,-77.9,85.0
DDH017,44.0,-59.9,0.0
DDH017,44.0,-60.2,5.0
DDH017,43.8,-59.9,10.0
DDH017,43.9,-60.2,15.0
DDH017,43.8,-60.3,20.0
DDH017,44.0,-60.2,25.0
DDH017,44.0,-60.0,30.0
DDH017,43.7,-59.9,35.0
DDH017,43.6,-59.8,40.0
DDH017,43.7,-60.0,45.0
DDH017,43.8,-60.1,50.0
DDH017,43.6,-60.1,55.0
DDH017,43.7,-59.8,60.0
DDH017,43.8,-59.9,65.0
DDH017,43.7,-60.0,70.0
DDH017,43.8,-59.8,75.0
DDH018,44.1,-65.9,0.0
DDH018,44.3,-66.1,5.0
DDH018,44.2,-65.9,10.0
DDH018,44.5,-66.0,15.0
DDH018,44.2,-65.9,20.0
DDH018,44.3,-66.0,25.0
DDH018,44.1,-65.8,30.0
DDH018,44.3,-65.8,35.0
DDH018,44.5,-65.8,40.0
DDH018,44.4,-65.9,45.0
DDH018,44.3,-65.9,50.0
DDH018,44.4,-66.0,55.0
DDH018,44.3,-65.8,60.0
DDH018,44.2,-65.9,65.0
DDH018,44.2,-65.9,70.0
DDH018,44.2,-65.8,75.0
DDH019,26.0,-44.7,0.0
DDH019,26.1,-44.7,5.0
DDH019,26.3,-44.7,10.0
DDH019,26.2,-44.6,15.0
DDH019,26.1,-44.3,20.0
DDH019,26.1,-44.5,25.0
DDH019,26.2,-44.5,30.0
DDH020,1.0,-47.9,0.0
DDH020,1.1,-48.1,5.0
DDH020,1.3,-48.1,10.0
DDH020,1.0,-48.1,15.0
DDH020,1.0,-47.9,20.0
DDH020,1.2,-48.0,25.0
DDH020,1.2,-48.2,30.0
DDH021,30.3,-65.6,0.0
DDH021,30.4,-65.8,5.0
DDH021,30.5,-65.9,10.0
DDH021,30.4,-65.6,15.0
DDH021,30.3,-65.8,20.0
DDH022,357.0,-71.2,0.0
DDH022,357.1,-71.2,5.0
DDH022,357.2,-71.0,10.0
DDH022,357.2,-71.1,15.0
DDH022,356.9,-71.0,20.0
DDH023,89.3,-79.0,0.0
DDH023,89.4,-79.1,5.0
DDH023,89.3,-78.8,10.0
DDH023,89.3,-79.2,15.0
DDH023,89.4,-78.9,20.0
DDH024,9.3,-59.6,0.0
DDH024,9.2,-59.8,5.0
DDH024,9.3,-59.4,10.0
DDH024,9.0,-59.4,15.0
DDH024,9.0,-59.4,20.0
DDH025,8.1,-85.0,0.0
DDH025,8.0,-84.9,5.0
DDH025,8.0,-84.8,10.0
DDH025,8.3,-84.9,15.0
DDH025,8.2,-84.9,20.0
DDH025,8.3,-84.8,25.0
DDH025,8.3,-84.7,30.0
DDH025,8.2,-84.8,35.0
DDH025,8.0,-85.0,40.0
DDH025,8.0,-84.9,45.0
DDH025,8.3,-85.0,50.0
DDH025,8.1,-85.0,55.0
DDH025,8.3,-85.2,60.0
DDH025,8.1,-85.0,65.0
DDH025,7.9,-84.9,70.0
DDH025,8.0,-84.9,75.0
DDH025,7.9,-85.2,80.0
DDH025,7.9,-84.9,85.0
DDH025,8.1,-85.1,90.0
DDH025,7.9,-84.9,95.0
DDH025,8.0,-85.1,100.0
DDH025,7.9,-85.2,105.0
DDH025,7.9,-84.9,110.0
DDH025,8.0,-84.9,115.0
DDH025,8.1,-84.9,120.0
DDH025,8.0,-85.2,125.0
DDH026,80.7,-76.0,0.0
DDH026,80.7,-76.0,5.0
DDH026,81.0,-75.8,10.0
DDH026,81.0,-75.9,15.0
DDH026,80.9,-76.0,20.0
DDH026,80.6,-75.9,25.0
DDH026,80.7,-76.0,30.0
DDH026,80.8,-76.0,35.0
DDH026,80.8,-76.1,40.0
DDH026,81.0,-76.1,45.0
DDH026,80.9,-75.9,50.0
DDH026,80.8,-76.1,55.0
DDH026,80.9,-75.8,60.0
DDH026,80.8,-76.1,65.0
DDH026,80.8,-76.1,70.0
DDH026,80.8,-75.9,75.0
DDH026,81.1,-75.8,80.0
DDH026,80.7,-76.1,85.0
DDH026,80.9,-76.0,90.0
DDH026,81.0,-75.8,95.0
DDH026,80.9,-76.2,100.0
DDH026,81.1,-76.1,105.0
DDH026,80.9,-75.9,110.0
DDH026,80.9,-76.2,115.0
DDH026,81.1,-76.0,120.0
DDH027,7.7,-61.9,0.0
DDH027,7.8,-62.0,5.0
DDH027,7.4,-62.1,10.0
DDH027,7.5,-62.0,15.0
DDH027,7.7,-61.8,20.0
DDH027,7.6,-61.9,25.0
DDH027,7.4,-61.8,30.0
DDH027,7.6,-61.8,35.0
DDH027,7.6,-62.0,40.0
DDH027,7.6,-62.0,45.0
DDH027,7.6,-61.9,50.0
DDH027,7.6,-62.0,55.0
DDH027,7.7,-62.0,60.0
DDH027,7.6,-62.0,65.0
DDH027,7.7,-61.8,70.0
DDH027,7.6,-62.0,75.0
DDH027,7.8,-61.8,80.0
DDH027,7.7,-61.9,85.0
DDH027,7.5,-61.8,90.0
DDH028,344.0,-60.6,0.0
DDH028,343.8,-60.5,5.0
DDH028,343.7,-60.7,10.0
DDH028,343.7,-60.7,15.0
DDH028,343.7,-60.8,20.0
DDH028,343.9,-60.8,25.0
DDH028,343.8,-60.8,30.0
DDH028,343.7,-60.7,35.0
DDH028,343.9,-60.7,40.0
DDH028,343.8,-60.7,45.0
DDH028,344.1,-60.5,50.0
DDH028,344.1,-60.7,55.0
DDH028,344.0,-60.4,60.0
DDH028,343.9,-60.6,65.0
DDH028,343.9,-60.7,70.0
DDH028,344.0,-60.7,75.0
DDH028,344.0,-60.8,80.0
DDH028,344.0,-60.6,85.0
DDH028,343.7,-60.6,90.0
DDH029,90.9,-85.4,0.0
DDH029,91.0,-85.4,5.0
DDH029,91.1,-85.3,10.0
DDH029,90.8,-85.2,15.0
DDH029,90.8,-85.3,20.0
DDH029,90.8,-85.5,25.0
DDH029,90.9,-85.2,30.0
DDH029,90.9,-85.2,35.0
DDH029,91.1,-85.3,40.0
DDH029,90.8,-85.5,45.0
DDH029,90.8,-85.4,50.0
DDH029,90.9,-85.3,55.0
DDH029,91.0,-85.2,60.0
DDH029,90.8,-85.2,65.0
DDH029,90.8,-85.3,70.0
DDH029,91.1,-85.4,75.0
DDH029,90.9,-85.2,80.0
DDH029,90.8,-85.4,85.0
DDH029,91.0,-85.3,90.0
DDH029,91.0,-85.4,95.0
DDH029,90.9,-85.3,100.0
DDH029,91.0,-85.1,105.0
DDH029,90.9,-85.3,110.0
DDH029,90.8,-85.1,115.0
DDH029,90.8,-85.3,120.0
DDH029,90.9,-85.3,125.0
DDH029,90.9,-85.1,130.0
DDH029,90.9,-85.2,135.0
DDH029,91.1,-85.4,140.0
DDH029,90.8,-85.2,145.0
DDH029,91.1,-85.3,150.0
DDH029,90.8,-85.3,155.0
DDH029,90.7,-85.2,160.0
DDH029,91.1,-85.0,165.0
DDH029,90.9,-85.0,170.0
DDH030,98.6,-77.7,0.0
DDH030,98.7,-78.0,5.0
DDH030,98.6,-78.0,10.0
DDH030,98.6,-77.7,15.0
DDH030,98.5,-77.7,20.0
DDH030,98.8,-77.8,25.0
DDH030,98.6,-78.0,30.0
DDH030,98.6,-77.6,35.0
DDH030,98.4,-77.7,40.0
DDH030,98.5,-77.9,45.0
DDH030,98.8,-77.8,50.0
DDH030,98.7,-77.7,55.0
DDH030,98.5,-78.0,60.0
DDH030,98.9,-78.0,65.0
DDH030,98.7,-77.9,70.0
DDH030,98.7,-77.6,75.0
DDH030,98.6,-77.8,80.0
DDH030,98.6,-77.6,85.0
DDH030,98.6,-77.8,90.0
DDH030,98.5,-77.6,95.0
DDH030,98.6,-77.7,100.0
DDH030,98.7,-77.9,105.0
DDH030,98.7,-77.9,110.0
DDH030,98.9,-77.6,115.0
DDH030,98.7,-77.7,120.0
DDH030,98.7,-77.8,125.0
DDH031,351.8,-88.8,0.0
DDH031,351.7,-88.5,5.0
DDH031,351.7,-88.6,10.0
DDH031,351.8,-88.5,15.0
DDH031,351.9,-88.5,20.0
DDH031,351.8,-88.7,25.0
DDH031,351.8,-88.7,30.0
DDH031,351.7,-88.6,35.0
DDH032,4.9,-67.0,0.0
DDH032,4.9,-66.9,5.0
DDH032,5.2,-66.9,10.0
DDH032,5.2,-67.0,15.0
DDH032,5.0,-66.7,20.0
DDH032,5.1,-66.9,25.0
DDH032,5.0,-66.9,30.0
DDH033,36.9,-48.4,0.0
DDH033,36.6,-48.5,5.0
DDH033,36.8,-48.2,10.0
DDH033,36.7,-48.6,15.0
DDH033,36.8,-48.6,20.0
DDH033,36.8,-48.4,25.0
DDH033,36.8,-48.6,30.0
DDH034,32.4,-79.9,0.0
DDH034,32.4,-80.0,5.0
DDH034,32.4,-79.8,10.0
DDH034,32.4,-79.8,15.0
DDH034,32.3,-80.0,20.0
DDH034,32.5,-80.1,25.0
DDH034,32.4,-79.9,30.0
DDH035,89.3,-81.4,0.0
DDH035,89.2,-81.5,5.0
DDH035,89.2,-81.4,10.0
DDH035,89.4,-81.4,15.0
DDH035,89.3,-81.6,20.0
DDH035,89.3,-81.4,25.0
DDH035,89.5,-81.6,30.0
DDH035,89.2,-81.5,35.0
DDH036,343.7,-64.5,0.0
DDH036,343.5,-64.3,5.0
DDH036,343.8,-64.4,10.0
DDH036,343.6,-64.3,15.0
DDH036,343.9,-64.3,20.0
DDH036,343.6,-64.6,25.0
DDH036,343.6,-64.3,30.0
DDH036,343.9,-64.4,35.0
DDH036,343.7,-64.3,40.0
DDH036,343.5,-64.3,45.0
DDH036,343.5,-64.6,50.0
DDH036,343.7,-64.4,55.0
DDH036,343.7,-64.6,60.0
DDH036,343.8,-64.5,65.0
DDH036,343.6,-64.6,70.0
DDH036,343.8,-64.4,75.0
DDH036,343.8,-64.5,80.0
DDH036,343.5,-64.3,85.0
DDH036,343.7,-64.6,90.0
DDH036,343.5,-64.6,95.0
DDH036,343.8,-64.4,100.0
DDH036,343.7,-64.3,105.0
DDH036,343.4,-64.3,110.0
DDH036,343.7,-64.4,115.0
DDH036,343.6,-64.5,120.0
DDH036,343.5,-64.3,125.0
DDH037,324.0,-87.6,0.0
DDH037,323.7,-87.8,5.0
DDH037,324.1,-87.6,10.0
DDH037,323.9,-87.8,15.0
DDH037,323.7,-87.7,20.0
DDH037,324.0,-87.8,25.0
DDH037,323.8,-87.6,30.0
DDH037,323.8,-87.8,35.0
DDH037,323.9,-87.6,40.0
DDH037,324.1,-87.8,45.0
DDH037,323.9,-87.9,50.0
DDH037,323.8,-87.6,55.0
DDH037,323.9,-87.8,60.0
DDH037,323.8,-87.7,65.0
DDH037,323.8,-87.5,70.0
DDH037,324.0,-87.5,75.0
DDH037,323.9,-87.5,80.0
DDH037,323.9,-87.6,85.0
DDH037,324.0,-87.6,90.0
DDH037,323.9,-87.6,95.0
DDH037,323.9,-87.4,100.0
DDH037,323.7,-87.4,105.0
DDH037,323.9,-87.4,110.0
DDH037,323.9,-87.4,115.0
DDH037,324.1,-87.6,120.0
DDH037,323.7,-87.7,125.0
DDH037,324.1,-87.5,130.0
DDH037,323.9,-87.4,135.0
DDH037,323.8,-87.3,140.0
DDH037,324.1,-87.6,145.0
DDH038,55.7,-80.9,0.0
DDH038,55.6,-80.9,5.0
DDH038,55.7,-80.8,10.0
DDH038,55.4,-80.9,15.0
DDH038,55.7,-80.8,20.0
DDH038,55.4,-80.8,25.0
DDH038,55.6,-80.8,30.0
DDH038,55.4,-80.9,35.0
DDH038,55.4,-81.0,40.0
DDH038,55.4,-80.9,45.0
DDH038,55.4,-80.9,50.0
DDH038,55.5,-80.8,55.0
DDH038,55.4,-80.7,60.0
DDH038,55.6,-80.9,65.0
DDH038,55.5,-80.6,70.0
DDH038,55.6,-80.7,75.0
DDH038,55.6,-80.8,80.0
DDH038,55.5,-80.8,85.0
DDH038,55.5,-80.9,90.0
DDH038,55.7,-80.9,95.0
DDH038,55.5,-80.7,100.0
DDH038,55.5,-81.0,105.0
DDH038,55.7,-80.7,110.0
DDH038,55.5,-80.9,115.0
DDH038,55.6,-80.9,120.0
DDH038,55.5,-80.9,125.0
DDH039,82.0,-76.6,0.0
DDH039,81.9,-76.4,5.0
DDH039,82.2,-76.5,10.0
DDH039,82.2,-76.6,15.0
DDH039,82.0,-76.5,20.0
DDH040,93.3,-79.7,0.0
DDH040,93.2,-79.5,5.0
DDH040,93.1,-79.6,10.0
DDH040,93.3,-79.5,15.0
DDH040,93.2,-79.5,20.0
DDH040,93.3,-79.8,25.0
DDH040,93.2,-79.6,30.0
DDH040,93.3,-79.6,35.0
DDH040,93.0,-79.6,40.0
DDH040,93.0,-79.8,45.0
DDH040,93.1,-79.5,50.0
DDH040,93.3,-79.7,55.0
DDH040,93.3,-79.7,60.0
DDH040,93.2,-79.8,65.0
DDH040,93.1,-79.8,70.0
DDH040,93.4,-79.7,75.0
DDH040,93.4,-79.6,80.0
DDH040,93.2,-79.5,85.0
DDH040,93.4,-79.5,90.0
DDH040,93.1,-79.5,95.0
DDH040,93.3,-79.8,100.0
DDH040,93.4,-79.8,105.0
DDH040,93.3,-79.6,110.0
DDH040,93.3,-79.8,115.0
DDH040,93.2,-79.7,120.0
DDH040,93.4,-79.6,125.0
DDH040,93.4,-79.7,130.0
DDH040,93.2,-79.8,135.0
DDH040,93.4,-79.5,140.0
DDH040,93.4,-79.7,145.0
DDH040,93.4,-79.6,150.0
DDH040,93.2,-79.6,155.0
DDH040,93.4,-79.7,160.0
DDH040,93.5,-79.6,165.0
DDH040,93.5,-79.9,170.0
DDH040,93.4,-79.8,175.0
DDH041,26.4,-56.9,0.0
DDH041,26.2,-56.6,5.0
DDH041,26.4,-56.8,10.0
DDH041,26.2,-56.8,15.0
DDH041,26.4,-56.9,20.0
DDH041,26.4,-56.9,25.0
DDH041,26.5,-56.9,30.0
DDH041,26.2,-56.6,35.0
DDH041,26.4,-56.9,40.0
