DHID,depth,azimuth,dip
DH_002,60.0,92.274,-62.925
DH_002,70.0,92.618,-63.376
DH_002,80.0,92.974,-63.825
DH_002,90.0,93.318,-64.276
DH_002,100.0,93.674,-64.725
DH_002,110.0,94.018,-65.176
DH_002,120.0,94.373,-65.625
DH_002,130.0,94.717,-66.076
DH_002,140.0,95.073,-66.525
DH_002,150.0,95.417,-66.975
DH_002,160.0,95.773,-67.421
DH_002,170.0,96.117,-67.863
DH_002,180.0,96.473,-68.313
DH_002,190.0,96.816,-68.771
DH_002,200.0,97.173,-69.225
DH_002,210.0,97.516,-69.675
DH_002,220.0,97.873,-70.125
DH_002,230.0,98.215,-70.575
DH_002,240.0,98.573,-71.025
DH_002,250.0,98.915,-71.475
DH_002,260.0,99.273,-71.925
DH_002,270.0,99.614,-72.375
DH_002,280.0,99.973,-72.825
DH_002,290.0,100.314,-73.275
DH_002,300.0,100.5,-73.5
DH_003,0.0,90.0,-60.0
DH_003,5.0,90.984,-59.668
DH_003,10.0,91.419,-60.075
DH_003,15.0,91.391,-60.625
DH_003,20.0,91.591,-61.008
DH_003,25.0,91.067,-61.301
DH_003,30.0,91.669,-61.488
DH_003,35.0,92.991,-61.742
DH_003,40.0,93.15,-62.158
DH_003,45.0,93.4,-62.727
DH_003,50.042,94.459,-63.08
DH_003,55.083,95.199,-63.548
DH_003,60.125,95.022,-64.071
DH_003,65.0,95.148,-64.4
DH_003,70.0,95.963,-64.743
DH_003,75.0,96.641,-65.142
DH_003,80.0,96.817,-65.61
DH_003,85.042,97.857,-65.87
DH_003,90.083,98.666,-66.112
DH_003,95.0,97.875,-66.318
DH_003,100.0,98.406,-66.355
DH_003,105.0,99.419,-66.692
DH_003,110.0,99.476,-67.084
DH_003,115.042,99.717,-67.183
DH_003,120.083,99.717,-67.183
DH_004,0.0,270.0,-60.0
DH_004,10.0,270.521,-60.451
DH_004,20.0,270.87,-60.75
DH_004,30.0,271.208,-61.051
DH_004,40.0,271.562,-61.35
DH_004,50.0,271.916,-61.651
DH_004,60.0,272.274,-61.95
DH_004,70.0,272.621,-62.251
DH_004,80.0,272.8,-62.4
DH_005,0.0,90.0,-60.0
DH_005,5.0,92.582,-59.4
DH_005,10.0,92.61,-59.958
DH_005,15.0,92.508,-60.533
DH_005,20.0,92.781,-61.067
DH_005,25.0,93.29,-61.575
DH_005,30.0,93.45,-61.858
DH_005,35.0,93.934,-61.926
DH_005,40.0,93.531,-62.07
DH_005,45.0,93.366,-62.553
DH_005,50.0,94.882,-62.543
DH_005,55.0,95.401,-62.583
DH_005,60.0,95.596,-63.342
DH_005,65.0,95.652,-63.942
DH_005,70.0,95.757,-64.225
DH_005,75.0,95.895,-64.709
DH_005,80.0,95.841,-65.25
DH_005,85.0,95.687,-65.684
DH_005,90.0,95.682,-66.1
DH_005,95.0,95.992,-66.267
DH_005,100.0,96.249,-66.425
DH_005,105.0,96.691,-66.708
DH_005,110.0,96.875,-67.042
DH_005,115.0,96.991,-67.433
DH_005,120.0,97.108,-67.858
DH_005,125.0,97.266,-68.267
DH_005,130.0,97.507,-68.642
DH_005,135.0,97.633,-68.983
DH_005,140.0,97.954,-69.442
DH_005,145.0,98.259,-69.858
DH_005,150.0,98.44,-70.125
DH_005,155.0,98.683,-70.45
DH_005,160.0,98.824,-70.858
DH_005,165.0,98.917,-71.3
DH_005,170.0,98.892,-71.633
DH_005,175.0,99.016,-71.858
DH_005,180.0,99.225,-72.1
DH_005,185.0,99.392,-72.208
DH_005,190.0,99.5,-72.325
DH_005,195.0,99.792,-72.45
DH_005,200.0,100.183,-72.483
DH_005,205.0,100.242,-72.717
DH_005,210.0,100.075,-72.983
DH_005,215.0,100.421,-73.192
DH_005,220.0,101.655,-73.418
DH_005,225.0,101.703,-73.642
DH_005,229.965,101.893,-73.989
DH_005,234.929,102.774,-74.546
DH_005,239.894,102.386,-75.25
DH_005,244.859,102.406,-75.929
DH_005,249.824,102.743,-76.26
DH_006,0.0,90.0,-60.0
DH_006,7.0,92.286,-60.218
DH_006,14.0,92.648,-60.751
DH_006,21.0,93.923,-61.626
DH_006,28.0,93.8,-62.367
DH_006,35.0,94.12,-62.762
DH_006,42.0,94.064,-62.83
DH_006,49.0,94.121,-63.512
DH_006,56.0,95.015,-64.438
DH_006,63.0,94.878,-65.186
DH_006,70.0,95.89,-65.661
DH_006,77.0,96.197,-66.391
DH_006,84.0,96.456,-67.074
DH_006,91.0,97.543,-67.649
DH_006,98.0,97.707,-68.114
DH_006,105.0,97.643,-68.506
DH_006,112.0,97.58,-68.898
DH_006,119.0,97.624,-69.262
DH_006,126.0,97.862,-69.578
DH_006,133.0,98.1,-69.893
DH_006,140.0,98.355,-70.208
DH_006,147.0,98.596,-70.523
DH_006,154.0,98.836,-70.838
DH_006,161.0,99.107,-71.175
DH_006,168.0,99.244,-71.35
DH_007,0.0,90.0,-60.0
DH_007,10.0,90.519,-60.676
DH_007,20.0,90.874,-61.125
DH_007,30.0,91.219,-61.576
DH_007,40.0,91.574,-62.025
DH_007,50.0,91.918,-62.476
DH_007,60.0,92.274,-62.925
DH_007,70.0,92.618,-63.376
DH_007,80.0,92.974,-63.825
DH_007,90.0,93.318,-64.276
DH_007,100.0,93.674,-64.725
DH_007,110.0,94.018,-65.176
DH_007,120.0,94.373,-65.625
DH_007,130.0,94.717,-66.076
DH_007,140.0,95.073,-66.525
DH_007,150.0,95.417,-66.975
DH_007,160.0,95.773,-67.421
DH_007,170.0,96.117,-67.863
DH_007,180.0,96.473,-68.313
DH_007,190.0,96.816,-68.771
DH_007,200.0,97.173,-69.225
DH_007,210.0,97.516,-69.675
DH_007,220.0,97.873,-70.125
DH_007,230.0,98.215,-70.575
DH_007,240.0,98.573,-71.025
DH_007,250.0,98.915,-71.475
DH_007,260.0,99.273,-71.925
DH_007,270.0,99.614,-72.375
DH_007,280.0,99.973,-72.825
DH_007,290.0,100.314,-73.275
DH_007,300.0,100.5,-73.5
DH_008,0.0,90.0,-60.0
DH_008,10.0,90.519,-60.676
DH_008,20.0,90.874,-61.125
DH_008,30.0,91.219,-61.576
DH_008,40.0,91.574,-62.025
DH_008,50.0,91.918,-62.476
DH_008,60.0,92.274,-62.925
DH_008,70.0,92.618,-63.376
DH_008,80.0,92.974,-63.825
DH_008,90.0,93.318,-64.276
DH_008,100.0,93.674,-64.725
DH_008,110.0,94.018,-65.176
DH_008,120.0,94.373,-65.625
DH_008,130.0,94.717,-66.076
DH_008,140.0,95.073,-66.525
DH_008,150.0,95.417,-66.975
DH_008,160.0,95.773,-67.421
DH_008,170.0,96.117,-67.863
DH_008,180.0,96.473,-68.313
DH_008,190.0,96.816,-68.771
DH_008,200.0,97.173,-69.225
DH_008,210.0,97.516,-69.675
DH_008,220.0,97.7,-69.9
DH_009,0.0,90.0,-60.0
DH_009,6.137,90.62,-59.602
DH_009,12.275,91.21,-60.037
DH_009,18.412,91.728,-60.562
DH_009,24.549,93.038,-60.629
DH_009,30.686,94.475,-61.055
DH_009,36.824,95.814,-61.576
DH_009,42.961,97.767,-61.669
DH_009,49.098,99.766,-62.055
DH_009,55.0,100.965,-62.462
DH_009,61.0,103.472,-62.928
DH_009,67.0,106.016,-63.362
DH_009,73.137,106.944,-64.019
DH_009,79.275,107.157,-64.462
DH_009,85.412,107.499,-64.998
DH_009,92.0,107.819,-65.231
DH_009,98.137,107.502,-65.327
DH_009,104.275,109.426,-65.595
DH_009,110.412,109.426,-65.922
DH_009,116.549,110.296,-66.342
DH_009,122.686,111.78,-66.869
DH_009,128.824,113.581,-67.287
DH_009,134.961,115.745,-67.582
DH_009,141.098,116.97,-67.963
DH_009,147.235,118.236,-68.356
DH_009,153.373,119.195,-68.596
DH_009,159.51,120.028,-69.089
DH_009,166.0,121.632,-69.032
DH_009,172.0,122.893,-69.098
DH_009,178.137,125.298,-69.184
DH_009,184.275,126.347,-68.96
DH_009,190.412,127.311,-68.629
DH_009,196.549,126.328,-68.664
DH_009,202.686,128.355,-68.422
DH_009,209.0,129.282,-68.623
DH_009,215.0,129.434,-69.058
DH_009,221.0,129.441,-69.428
DH_009,227.0,129.311,-69.489
DH_009,233.0,129.458,-69.72
DH_009,239.0,129.664,-69.99
DH_009,245.0,129.87,-70.26
DH_009,251.0,130.089,-70.53
DH_009,257.0,130.296,-70.8
DH_009,263.0,130.499,-71.07
DH_009,269.0,130.717,-71.34
DH_009,275.0,130.927,-71.61
DH_009,281.0,131.131,-71.88
DH_009,287.0,131.342,-72.15
DH_009,293.0,131.558,-72.42
DH_009,299.0,131.763,-72.69
DH_009,305.0,131.965,-72.957
DH_009,311.0,132.05,-73.05
DH_010,0.0,90.0,-60.0
DH_010,5.0,93.699,-58.485
DH_010,10.0,94.333,-58.633
DH_010,15.0,94.375,-58.817
DH_010,20.0,94.972,-59.068
DH_010,25.0,95.599,-59.725
DH_010,30.0,95.929,-60.734
DH_010,35.0,97.185,-61.462
DH_010,40.0,97.521,-62.277
DH_010,45.0,96.526,-62.917
DH_010,50.0,96.083,-63.008
DH_010,55.0,96.09,-63.35
DH_010,60.0,96.794,-63.918
DH_010,65.0,97.15,-64.209
DH_010,70.0,97.042,-64.208
DH_010,75.0,97.15,-64.458
DH_010,80.0,97.142,-65.017
DH_010,85.0,97.15,-65.3
DH_010,90.0,96.809,-65.325
DH_010,95.0,96.682,-65.467
DH_010,100.0,97.497,-65.735
DH_010,105.0,100.224,-66.106
DH_010,110.0,101.321,-66.412
DH_010,115.0,99.752,-66.592
DH_010,120.0,99.508,-66.675
DH_010,125.0,99.583,-66.6
DH_010,130.0,99.092,-66.525
DH_010,135.0,98.883,-66.617
DH_010,140.0,98.56,-66.817
DH_010,145.0,98.058,-66.833
DH_010,150.0,97.674,-66.684
DH_010,155.0,96.95,-66.634
DH_010,160.0,98.576,-66.538
DH_010,165.0,101.711,-66.371
DH_010,170.0,101.337,-66.24
DH_010,175.0,97.111,-66.041
DH_010,180.0,96.096,-65.826
DH_010,185.0,97.525,-65.75
DH_010,190.0,98.764,-65.799
DH_010,195.0,99.163,-65.754
DH_010,200.0,98.41,-65.55
DH_010,205.0,99.271,-65.643
DH_010,210.0,99.817,-65.892
DH_010,215.0,99.85,-66.0
DH_010,220.0,99.426,-66.151
DH_010,225.0,99.0,-66.233
DH_011,0.0,90.0,-60.0
DH_011,10.0,90.519,-60.676
DH_011,20.0,90.874,-61.125
DH_011,30.0,91.219,-61.576
DH_011,40.0,91.574,-62.025
DH_011,50.0,91.918,-62.476
DH_011,60.0,92.274,-62.925
DH_011,70.0,92.618,-63.376
DH_011,80.0,92.974,-63.825
DH_011,90.0,93.318,-64.276
DH_011,100.0,93.674,-64.725
DH_011,110.0,94.018,-65.176
DH_011,120.0,94.373,-65.625
DH_011,130.0,94.717,-66.076
DH_011,140.0,95.073,-66.525
DH_011,150.0,95.417,-66.975
DH_011,160.0,95.773,-67.421
DH_011,170.0,96.117,-67.863
DH_011,180.0,96.473,-68.313
DH_011,190.0,96.65,-68.542
DH_012,0.0,90.0,-60.0
DH_012,10.0,90.519,-60.676
DH_012,20.0,90.874,-61.125
DH_012,30.0,91.219,-61.576
DH_012,40.0,91.574,-62.025
DH_012,50.0,91.918,-62.476
DH_012,60.0,92.274,-62.925
DH_012,70.0,92.618,-63.376
DH_012,80.0,92.974,-63.825
DH_012,90.0,93.318,-64.276
DH_012,100.0,93.674,-64.725
DH_012,110.0,94.018,-65.176
DH_012,120.0,94.373,-65.625
DH_012,130.0,94.717,-66.076
DH_012,140.0,95.073,-66.525
DH_012,150.0,95.417,-66.975
DH_012,160.0,95.773,-67.421
DH_012,170.0,96.117,-67.863
DH_012,180.0,96.473,-68.313
DH_012,190.0,96.65,-68.542
DH_013,0.0,90.0,-60.0
DH_013,5.0,89.86,-59.252
DH_013,10.0,90.339,-59.249
DH_013,15.0,90.474,-59.554
DH_013,20.0,90.402,-59.906
DH_013,25.0,90.438,-60.319
DH_013,30.0,90.869,-60.609
DH_013,35.0,91.15,-60.714
DH_013,40.0,90.938,-60.907
DH_013,45.0,90.482,-61.163
DH_013,50.0,90.719,-61.613
DH_013,55.0,91.744,-62.096
DH_013,60.0,92.021,-62.293
DH_013,65.0,92.127,-62.201
DH_013,70.0,93.109,-61.931
DH_013,75.0,93.249,-61.871
DH_013,79.969,93.004,-62.219
DH_013,84.938,92.985,-62.598
DH_013,89.907,93.122,-63.052
DH_013,94.876,93.544,-63.332
DH_013,99.845,93.509,-63.604
DH_013,105.0,94.102,-64.006
DH_013,109.969,95.581,-64.457
DH_013,114.938,96.129,-64.954
DH_013,120.0,96.321,-65.266
DH_013,125.0,97.329,-65.547
DH_013,130.0,98.052,-65.839
DH_013,135.0,98.166,-66.204
DH_013,139.969,97.843,-66.585
DH_013,144.938,97.961,-66.838
DH_013,149.907,98.118,-67.042
DH_013,154.876,99.114,-67.193
DH_013,159.845,99.854,-67.383
DH_013,164.814,99.633,-67.705
DH_013,169.783,99.558,-67.903
DH_013,175.0,99.875,-68.106
DH_013,180.0,99.889,-68.217
DH_013,185.0,99.905,-68.503
DH_013,190.0,100.014,-68.833
DH_013,195.0,99.879,-68.996
DH_013,199.969,99.123,-69.257
DH_013,204.938,98.932,-69.416
DH_013,209.907,100.159,-69.467
DH_013,214.876,100.635,-69.567
DH_013,219.845,100.944,-69.737
DH_013,224.814,101.059,-69.883
DH_013,229.783,100.891,-70.038
DH_013,235.0,101.315,-70.182
DH_013,240.0,101.953,-70.316
DH_013,245.0,101.898,-70.383
DH_013,250.0,101.95,-70.449
DH_013,255.0,102.276,-70.574
DH_013,260.0,102.111,-70.715
DH_013,265.0,102.28,-70.62
DH_013,270.0,102.486,-70.613
DH_013,275.0,102.627,-70.89
DH_013,280.0,102.859,-71.049
DH_013,285.0,102.76,-71.174
DH_013,290.0,102.847,-71.242
DH_013,295.0,102.706,-71.209
DH_013,300.0,102.866,-71.135
DH_013,305.0,103.874,-71.043
DH_013,310.0,104.154,-70.959
DH_013,315.0,103.989,-71.072
DH_013,320.0,104.616,-71.169
DH_013,325.0,104.907,-71.068
DH_013,329.969,104.761,-71.057
DH_013,334.938,104.837,-71.06
DH_013,339.907,104.863,-71.025
DH_013,345.0,105.22,-71.009
DH_013,350.0,105.478,-71.0
DH_014,0.0,90.0,-60.0
DH_014,5.0,87.441,-59.1
DH_014,10.0,87.633,-59.458
DH_014,15.0,87.85,-59.692
DH_014,20.0,87.792,-59.767
DH_014,25.0,87.433,-59.658
DH_014,30.0,86.685,-59.643
DH_014,35.0,86.226,-59.458
DH_014,40.0,86.785,-59.101
DH_014,45.0,87.391,-59.2
DH_014,50.0,88.368,-59.327
DH_014,55.0,88.425,-59.244
DH_014,60.0,88.241,-59.251
DH_014,65.0,88.7,-59.292
DH_014,70.0,88.99,-59.484
DH_014,75.0,89.615,-59.825
DH_014,80.0,89.991,-60.2
DH_014,85.0,90.1,-60.55
DH_014,90.0,90.522,-60.884
DH_014,95.0,91.2,-61.125
DH_014,100.0,90.987,-61.459
DH_014,105.0,90.335,-61.909
DH_014,110.0,90.406,-62.3
DH_014,115.0,90.625,-62.683
DH_014,120.0,90.492,-63.075
DH_014,125.0,90.583,-63.383
DH_014,130.0,90.543,-63.708
DH_014,135.0,90.516,-64.042
DH_014,140.0,90.51,-64.367
DH_014,145.0,90.424,-64.758
DH_014,150.0,90.807,-65.042
DH_014,155.0,90.909,-65.233
DH_014,160.0,90.799,-65.467
DH_014,165.0,90.908,-65.75
DH_014,170.0,91.324,-65.959
DH_014,175.0,91.758,-66.167
DH_014,180.0,91.61,-66.45
DH_014,185.0,91.684,-66.575
DH_014,190.0,91.743,-66.742
DH_014,195.0,91.725,-66.975
DH_014,200.0,92.449,-67.026
DH_014,205.0,92.892,-67.192
DH_014,210.0,92.85,-67.4
DH_014,215.0,92.958,-67.575
DH_014,220.0,93.0,-67.792
DH_014,225.0,92.751,-67.983
DH_014,230.0,92.807,-68.15
DH_014,235.0,93.141,-68.333
DH_014,240.0,93.408,-68.517
DH_014,245.0,93.608,-68.717
DH_014,250.0,93.882,-68.959
DH_014,255.0,94.358,-69.158
DH_014,260.0,94.542,-69.325
DH_014,265.0,94.815,-69.517
DH_014,270.0,95.291,-69.675
DH_014,275.0,95.308,-69.742
DH_014,280.0,94.918,-69.858
DH_014,285.0,94.891,-70.033
DH_014,290.0,95.507,-70.151
DH_014,295.0,95.635,-70.284
DH_014,300.0,95.441,-70.458
DH_014,305.0,95.6,-70.65
DH_014,310.0,91.838,-70.856
DH_014,315.0,91.892,-70.924
DH_014,320.0,95.584,-70.933
DH_014,325.0,95.467,-70.975
DH_014,330.0,95.525,-71.0
DH_014,335.0,95.834,-71.0
DH_014,340.0,96.05,-71.008
DH_014,345.0,95.95,-71.05
DH_015,0.0,270.0,-60.0
DH_015,5.0,272.809,-58.85
DH_015,10.0,272.341,-59.009
DH_015,15.0,272.284,-58.909
DH_015,20.0,272.791,-59.0
DH_015,25.0,273.116,-59.267
DH_015,30.0,273.234,-59.508
DH_015,35.0,273.685,-59.493
DH_015,40.0,274.729,-59.659
DH_015,45.0,275.647,-60.209
DH_015,50.0,276.208,-60.592
DH_015,55.0,276.957,-60.81
DH_015,60.0,277.035,-61.501
DH_015,65.0,276.699,-62.333
DH_015,70.0,277.123,-62.825
DH_015,75.0,277.574,-63.183
DH_015,80.0,277.267,-63.743
DH_015,85.0,277.501,-64.452
DH_015,90.0,278.325,-64.908
DH_015,95.0,278.251,-65.317
DH_015,100.0,278.191,-65.6
DH_015,105.0,278.051,-65.85
DH_015,110.0,277.949,-66.167
DH_015,115.0,277.338,-66.485
DH_015,120.0,277.598,-66.703
DH_015,125.0,278.21,-66.867
DH_015,130.0,277.452,-67.1
DH_015,135.0,276.751,-67.309
DH_015,140.0,276.433,-67.4
DH_016,0.0,90.0,-60.0
DH_016,7.0,86.997,-57.755
DH_016,13.667,89.469,-57.751
DH_016,20.333,92.827,-58.002
DH_016,27.0,95.28,-57.774
DH_016,33.667,96.354,-58.385
DH_016,40.333,97.129,-58.998
DH_016,47.0,98.454,-59.261
DH_016,53.667,98.96,-59.987
DH_016,60.333,100.139,-60.9
DH_016,67.0,101.359,-61.48
DH_016,73.667,101.431,-61.289
DH_016,80.333,101.556,-61.417
DH_016,87.0,102.264,-61.577
DH_016,93.667,103.523,-62.004
DH_016,100.333,104.475,-61.995
DH_016,107.0,104.495,-62.392
DH_016,114.0,104.987,-62.456
DH_016,121.0,105.294,-62.804
DH_016,128.0,105.965,-63.149
DH_016,135.0,105.15,-63.509
DH_016,142.0,105.619,-64.48
DH_016,148.667,105.619,-65.181
DH_016,155.333,105.9,-65.697
DH_016,162.0,105.873,-66.014
DH_016,168.667,105.167,-66.606
DH_016,175.333,106.42,-67.17
DH_016,182.0,106.75,-67.443
DH_016,189.0,106.742,-67.648
DH_016,196.0,106.979,-67.961
DH_016,203.0,107.218,-68.276
DH_016,210.0,107.472,-68.591
DH_016,217.0,107.713,-68.906
DH_016,224.0,107.953,-69.221
DH_016,231.0,108.206,-69.536
DH_016,238.0,108.447,-69.851
DH_016,245.0,108.689,-70.166
DH_016,252.0,108.941,-70.481
DH_016,259.0,109.175,-70.789
DH_016,265.667,109.406,-71.089
DH_016,272.333,109.647,-71.388
DH_016,279.0,109.881,-71.696
DH_016,286.0,110.124,-72.011
DH_016,293.0,110.255,-72.168
DH_017,0.0,90.0,-60.0
DH_017,5.0,85.158,-59.275
DH_017,10.0,85.401,-59.25
DH_017,15.0,85.607,-59.683
DH_017,20.0,85.189,-60.651
DH_017,25.0,84.502,-61.35
DH_017,30.0,84.549,-61.792
DH_017,35.0,84.717,-62.192
DH_017,40.0,84.658,-62.533
DH_017,45.0,85.0,-62.625
DH_017,50.0,85.539,-62.925
DH_017,55.0,85.833,-63.367
DH_017,60.0,86.116,-63.667
DH_017,65.0,86.267,-63.933
DH_017,70.0,86.349,-64.3
DH_017,75.0,86.994,-64.417
DH_017,80.0,87.242,-64.359
DH_017,85.0,86.791,-64.317
DH_017,90.0,87.069,-64.551
DH_017,95.0,88.242,-64.885
DH_017,100.0,88.362,-65.034
DH_017,105.0,87.443,-65.275
DH_017,110.0,87.798,-65.41
DH_017,115.0,88.882,-65.575
DH_017,120.0,89.217,-65.658
DH_017,125.0,90.168,-65.595
DH_017,130.0,91.034,-65.592
DH_017,135.0,91.033,-65.725
DH_017,140.0,91.881,-65.902
DH_017,145.0,92.584,-66.3
DH_017,150.0,92.382,-66.425
DH_017,155.0,92.572,-66.45
DH_017,160.0,93.215,-66.809
DH_017,165.0,93.541,-67.158
DH_017,170.0,93.228,-67.559
DH_017,175.0,93.015,-67.933
DH_017,180.0,92.737,-68.301
DH_017,185.0,92.871,-68.659
DH_017,190.0,92.821,-68.976
DH_017,195.0,92.216,-69.292
DH_017,200.0,92.341,-69.6
DH_017,205.0,92.623,-69.925
DH_017,210.0,92.833,-70.3
DH_017,215.0,93.593,-70.685
DH_017,220.0,94.267,-71.033
DH_017,225.0,93.845,-71.392
DH_017,230.0,93.575,-71.608
DH_017,235.0,94.079,-71.8
DH_017,240.0,94.566,-72.117
DH_017,245.0,94.336,-72.425
DH_017,250.0,94.108,-72.733
DH_017,255.0,94.018,-73.025
DH_017,260.0,94.082,-73.308
DH_017,265.0,94.259,-73.567
DH_017,270.0,94.884,-73.693
DH_017,275.0,94.712,-73.918
DH_017,280.0,93.784,-74.275
DH_017,285.0,93.808,-74.542
DH_017,290.0,94.082,-74.8
DH_017,295.0,94.275,-74.992
DH_017,300.0,94.35,-75.167
DH_017,305.0,94.755,-75.434
DH_017,310.0,94.635,-75.667
DH_017,315.0,94.333,-75.775
DH_017,320.0,94.351,-75.892
DH_017,325.0,94.333,-76.025
DH_017,330.0,94.417,-76.1
DH_017,335.0,94.259,-76.167
DH_017,340.0,94.3,-76.242
DH_017,345.0,94.45,-76.267
DH_018,0.0,90.0,-60.0
DH_018,4.953,91.797,-59.005
DH_018,10.0,92.662,-59.418
DH_018,14.953,92.798,-60.117
DH_018,19.907,92.615,-60.229
DH_018,24.86,93.249,-60.3
DH_018,29.814,94.842,-60.167
DH_018,34.767,95.94,-59.745
DH_018,39.721,97.008,-59.285
DH_018,44.674,98.12,-58.514
DH_018,49.628,99.307,-57.955
DH_018,54.581,100.207,-57.414
DH_018,59.535,101.035,-56.821
DH_018,64.488,101.654,-56.709
DH_018,69.0,101.221,-57.093
DH_018,74.0,102.239,-57.436
DH_018,79.0,103.272,-57.569
DH_018,84.0,103.76,-58.151
DH_018,89.0,104.132,-58.729
DH_018,94.0,104.046,-59.046
DH_018,99.0,103.597,-59.377
DH_018,104.0,103.293,-59.668
DH_018,109.0,103.763,-60.264
DH_018,114.0,103.737,-60.617
DH_018,119.0,104.193,-60.581
DH_018,124.0,104.577,-60.628
DH_018,129.0,104.148,-60.969
DH_018,134.0,104.182,-61.187
DH_018,139.0,104.785,-61.333
DH_018,144.0,105.092,-61.353
DH_018,149.0,105.507,-61.168
DH_018,154.0,105.027,-61.126
DH_018,158.953,105.123,-61.02
DH_018,163.907,105.238,-61.063
DH_018,168.86,105.137,-61.07
DH_018,173.814,105.185,-61.064
DH_018,178.767,104.794,-61.21
DH_018,183.721,104.998,-61.239
DH_018,188.674,105.146,-61.371
DH_018,193.628,104.449,-61.614
DH_018,198.581,105.327,-62.328
DH_018,203.535,107.438,-64.057
DH_018,208.488,107.674,-64.26
DH_019,0.0,90.0,-60.0
DH_019,10.0,92.617,-59.83
DH_019,20.0,92.899,-60.58
DH_019,30.0,93.23,-61.279
DH_019,40.0,93.951,-62.213
DH_019,50.0,94.583,-63.385
DH_019,60.0,97.995,-64.157
DH_019,70.0,100.71,-64.51
DH_019,80.0,102.245,-65.055
DH_019,90.0,103.376,-65.788
DH_019,100.0,103.413,-65.419
DH_019,110.0,103.48,-65.6
DH_019,120.0,103.828,-66.05
DH_019,130.0,104.179,-66.5
DH_019,140.0,104.528,-66.95
DH_019,150.0,104.879,-67.4
DH_019,160.0,105.227,-67.85
DH_019,170.0,105.579,-68.3
DH_019,180.0,105.927,-68.75
DH_019,190.0,106.279,-69.2
DH_019,200.0,106.627,-69.65
DH_019,210.0,106.979,-70.1
DH_019,220.0,107.327,-70.55
DH_019,230.0,107.678,-71.0
DH_019,240.0,108.026,-71.45
DH_019,250.0,108.378,-71.9
DH_019,260.0,108.726,-72.35
