SeisThick(m),Devonian(m),Wabiskaw(m)
0.365,102.724,149.523
0.397,119.042,152.819
0.418,106.884,160.415
0.447,123.764,151.897
0.307,114.548,150.393
0.2,100.535,147.449
0.326,132.526,167.299
0.209,118.308,167.474
0.185,125.597,171.227
0.099,98.727,170.656
0.165,109.013,178.837
0.233,117.416,193.299
0.261,88.072,190.009
0.186,87.577,190.42
0.137,100.653,189.137
0.17,118.516,190.229
0.134,123.03,193.907
0.132,127.049,187.852
0.078,102.604,188.748
0.119,125.024,199.671
0.145,115.247,188.194
0.134,115.77,193.409
0.082,92.728,180.741
0.071,94.71,163.791
0.078,78.287,161.119
0.143,80.689,154.921
0.156,88.031,166.414
0.141,96.023,176.549
0.138,86.333,170.667
0.066,63.423,150.759
0.064,32.123,147.673
0.054,27.707,149.971
0.056,18.598,142.489
0.065,24.44,142.357
0.057,37.541,142.213
0.065,43.057,142.206
0.077,57.489,142.438
0.096,45.967,142.971
0.113,37.106,150.55
0.149,54.603,153.154
0.093,46.642,161.993
0.122,62.043,172.367
0.141,46.752,179.502
0.095,63.735,209.108
0.101,80.75,233.874
0.078,103.416,241.5
0.08,129.023,253.81
0.079,105.053,235.923
0.065,87.113,227.327
0.051,100.843,221.186
0.046,126.752,225.824
0.045,114.61,219.662
0.043,110.153,200.964
0.04,98.402,199.195
0.04,93.789,189.038
0.053,122.671,204.199
0.068,107.01,215.638
0.102,113.685,227.478
0.08,108.816,228.887
0.112,92.552,241.275
0.128,70.375,238.468
0.122,62.598,243.407
0.204,65.799,244.398
0.189,69.996,228.811
0.203,97.475,241.823
0.232,125.478,250.254
0.177,110.018,249.038
0.135,119.816,254.563
0.2,109.08,232.836
0.22,134.806,208.794
0.33,121.88,200.926
0.273,137.149,200.904
0.099,133.821,197.462
0.088,145.188,186.534
0.079,134.328,185.671
0.063,117.647,166.215
0.063,121.837,159.894
0.073,108.086,174.187
0.135,107.194,174.609
0.11,94.079,176.444
0.187,105.367,203.387
0.21,144.211,221.756
0.247,164.1,239.296
0.248,152.376,249.377
0.246,141.228,250.218
0.323,148.562,269.71
0.32,152.541,292.846
0.347,150.954,335.305
0.364,160.193,352.807
0.278,142.207,363.025
0.27,144.162,345.629
0.263,141.891,329.938
0.187,136.714,288.671
0.284,124.606,268.404
0.306,121.36,254.005
0.371,115.138,240.463
0.352,123.793,228.01
0.38,96.018,221.561
0.306,101.188,219.46
0.277,100.407,228.639
0.307,85.945,221.833
0.308,89.145,219.89
0.347,118.201,230.766
0.279,114.804,232.117
0.393,100.23,235.593
0.458,92.223,251.03
0.398,102.898,263.841
0.472,106.489,268.132
0.513,124.566,275.956
0.65,135.67,283.157
0.725,156.385,287.931
0.896,155.34,287.978
0.883,162.654,269.649
0.873,141.811,249.56
0.813,133.86,236.723
0.842,112.378,235.443
0.859,92.195,220.705
1.034,85.965,215.923
0.899,62.261,191.326
1.121,76.204,200.776
1.145,78.877,194.5
0.893,85.98,191.873
0.872,105.519,221.742
0.799,100.847,232.073
0.808,116.091,216.529
0.738,129.647,227.549
0.795,115.196,218.103
0.809,130.457,224.665
0.688,125.423,214.579
0.825,100.376,240.407
0.878,87.352,234.147
0.939,113.472,241.015
0.864,117.878,247.583
0.848,125.085,264.429
1.145,111.73,269.456
1.123,129.839,284.154
0.997,121.546,263.21
0.966,118.422,256.213
0.819,116.501,250.428
0.826,134.217,240.476
1.011,146.254,235.373
1.308,148.446,248.8
1.299,122.927,254.588
1.242,116.634,262.167
1.339,130.34,265.329
1.324,126.516,262.091
1.222,129.662,262.786
0.959,98.215,246.995
0.864,89.346,256.878
0.86,97.311,253.942
0.934,108.033,262.048
1.029,123.367,268.196
0.885,123.144,249.091
0.808,123.877,257.775
0.585,80.337,201.897
0.467,85.857,200.853
0.332,71.248,188.664
0.231,65.859,175.314
0.227,84.374,170.814
0.216,85.825,154.479
0.08,75.109,153.593
0.095,107.017,150.338
0.136,78.759,150.631
0.079,86.465,150.857
0.065,85.117,148.049
0.069,63.689,150.389
0.192,85.552,150.304
0.232,69.539,146.173
0.306,70.864,152.257
0.152,76.397,146.458
0.276,71.762,153.056
0.237,68.004,162.908
0.219,79.455,170.942
0.221,62.571,175.191
0.237,67.074,193.187
0.288,72.628,198.786
0.202,65.767,191.053
0.277,62.685,200.513
0.299,62.681,201.41
0.199,63.457,198.974
0.165,46.739,180.711
0.274,46.375,184.235
0.202,47.88,179.424
0.307,55.05,194.816
0.316,56.352,207.938
0.243,19.718,193.303
0.26,9.044,185.665
0.342,11.525,187.249
0.322,14.444,189.741
0.315,25.611,205.534
0.485,36.866,212.894
0.543,43.843,206.836
0.461,67.729,204.785
0.54,85.874,200.769
0.524,101.01,183.102
0.401,109.128,155.021
0.524,135.51,149.144
0.626,125.643,144.501
0.547,127.537,145.203
0.383,122.577,143.901
0.365,131.006,150.323
0.41,126.887,152.717
0.517,115.165,150.982
0.486,115.965,147.813
0.305,103.662,147.204
0.277,110.499,149.32
0.26,111.909,150.632
0.223,115.464,153.635
0.182,114.956,175.753
0.196,85.801,172.075
0.186,79.093,175.23
0.306,106.461,200.177
0.31,111.087,191.796
0.204,88.301,195.067
0.137,104.309,194.05
0.277,121.927,200.833
0.151,112.922,190.092
0.102,88.085,178.146
0.116,115.175,188.562
0.101,109.841,177.051
0.137,121.099,186.664
0.129,120.649,176.628
0.11,103.277,160.578
0.103,97.57,156.172
0.137,94.771,155.401
0.079,100.712,152.146
0.133,85.722,150.95
0.109,86.945,153.93
0.078,65.229,151.325
0.079,62.564,146.871
0.061,35.696,142.564
0.042,27.476,142.477
0.042,21.053,142.253
0.072,32.067,142.339
0.079,45.088,142.217
0.071,31.66,142.2
0.068,60.648,142.261
0.098,63.38,142.472
0.118,43.806,143.207
0.077,55.168,148.794
0.075,29.803,150.142
0.076,45.855,170.671
0.076,51.766,184.761
0.079,60.402,206.416
0.072,62.552,234.859
0.064,79.008,229.403
0.067,86.08,248.784
0.065,73.766,236.225
0.056,72.944,233.89
0.043,104.006,241.052
0.048,96.304,236.093
0.044,104.654,215.811
0.049,123.876,215.635
0.063,117.942,215.457
0.057,137.007,213.248
0.068,125.582,204.204
0.08,104.968,213.112
0.101,103.077,221.025
0.135,85.943,228.529
0.101,77.042,235.319
0.107,82.65,242.283
0.201,65.835,240.783
0.141,67.565,248.94
0.15,67.145,240.522
0.201,101.156,258.203
0.202,135.436,258.248
0.137,109.667,250.92
0.132,100.563,234.58
0.229,130.857,215.283
0.25,130.309,217.261
0.288,116.575,203.167
0.247,113.288,206.829
0.076,129.857,190.998
0.094,148.308,188.522
0.077,142.519,181.424
0.096,135.737,178.241
0.077,120.744,181.344
0.079,114.977,185.642
0.08,100.108,187.7
0.079,95.303,201.527
0.108,86.474,200.863
0.196,137.082,219.438
0.196,134.716,230.637
0.217,141.042,239.192
0.33,148.421,254.446
0.372,164.15,271.652
0.364,158.421,284.948
0.328,157.768,310.876
0.306,165.463,327.764
0.305,146.219,332.941
0.293,155.221,323.727
0.181,122.301,297.521
0.236,133.568,269.933
0.217,121.138,254.413
0.267,112.677,235.367
0.336,100.796,225.305
0.328,112.538,216.062
0.328,88.865,219.324
0.349,100.748,240.204
0.343,100.7,230.716
0.301,79.667,221.332
0.304,75.35,226.766
0.203,86.538,220.206
0.226,87.017,215.734
0.364,69.273,238.994
0.35,87.419,249.095
0.362,109.954,273.162
0.373,95.594,269.722
0.53,114.965,287.421
0.614,138.708,299.599
0.663,144.831,297.01
0.654,131.095,263.306
0.686,111.199,243.842
0.777,115.645,241.963
0.77,117.894,240.481
0.808,106.235,233.568
0.868,103.525,236.461
0.924,100.5,207.42
0.862,86.228,203.538
0.984,88.511,194.634
1.091,86.548,194.26
0.943,94.026,205.973
0.834,128.104,227.307
0.834,131.058,235.756
0.714,123.891,225.226
0.609,121.305,217.368
0.648,130.708,222.362
0.811,130.313,231.953
0.547,86.139,206.978
0.737,84.573,214.141
0.801,102.788,232.757
0.82,100.792,231.085
0.865,87.925,234.818
1.022,114.843,263.855
1.291,125.868,270.075
1.147,137.545,275.726
1.28,137.814,263.721
0.959,131.121,238.943
0.664,142.24,235.436
0.754,150.787,240.986
0.775,148.35,238.716
1.041,126.759,240.334
1.308,134.486,255.403
1.272,136.143,264.677
1.329,148.294,266.051
0.989,127.362,248.348
0.835,120.588,257.821
0.833,104.008,264.615
1.052,124.542,275.43
0.827,84.569,256.898
0.93,100.317,271.023
0.881,110.747,270.118
0.837,114.886,261.949
0.86,130.905,263.488
0.646,110.161,223.798
0.626,121.885,210.896
0.444,79.317,204.516
0.307,79.893,188.521
0.277,104.38,181.939
0.303,109.563,177.173
0.202,89.343,171.609
0.121,86.012,156.486
0.135,74.812,150.619
0.113,88.869,150.172
0.079,72.42,144.392
0.079,86.213,149.701
0.1,87.702,151.108
0.282,85.656,151.925
0.248,79.841,151.202
0.231,82.306,150.843
0.231,80.617,151.093
0.212,71.793,152.304
0.231,81.326,162.506
0.31,71.481,188.358
0.289,64.944,191.526
0.274,64.012,198.402
0.201,55.834,186.926
0.201,65.472,187.071
0.256,62.541,188.82
0.198,44.526,195.336
0.181,26.06,189.404
0.217,35.035,180.45
0.287,26.88,187.395
0.277,43.778,188.88
0.246,35.131,191.031
0.292,29.735,185.985
0.251,28.216,188.629
0.275,23.673,190.426
0.278,28.543,206.221
0.35,41.075,217.659
0.379,47.902,213.883
0.437,58.259,217.906
0.393,63.05,202.389
0.494,84.192,200.829
0.487,86.294,180.422
0.441,120.782,159.456
0.508,134.077,151.273
0.533,136.048,151.243
0.508,135.25,150.993
0.505,129.967,150.83
0.53,122.712,150.335
0.523,113.478,149.471
0.602,111.493,142.676
0.506,116.458,143.148
0.349,103.257,150.228
0.288,104.974,151.421
0.262,100.674,176.2
0.192,89.893,158.516
0.198,86.445,174.517
0.133,78.673,171.648
0.232,62.301,184.151
0.238,86.072,185.837
0.263,104.392,201.836
0.246,86.23,196.14
0.215,72.442,175.655
0.136,86.474,180.177
0.2,113.601,180.591
0.16,135.475,185.39
0.172,114.142,182.133
0.214,109.717,176.312
0.146,114.755,180.306
0.078,107.317,152.407
0.094,114.936,160.341
0.208,105.802,159.807
0.184,86.031,152.695
0.147,82.481,153.146
0.091,79.552,150.097
0.079,78.976,149.276
0.075,69.463,150.318
0.079,59.562,147.008
0.046,35.872,142.408
0.04,18.14,142.31
0.04,23.239,142.206
0.047,34.638,142.225
0.054,36.117,142.199
0.071,40.39,142.17
0.101,47.851,142.247
0.077,45.298,142.248
0.065,48.692,142.443
0.063,56.315,142.366
0.045,31.912,142.524
0.051,44.62,151.305
0.054,25.863,164.697
0.058,31.769,187.752
0.046,33.993,209.361
0.055,43.685,214.088
0.056,55.093,216.951
0.064,67.545,220.945
0.056,76.988,233.161
0.054,70.605,234.884
0.047,86.43,234.997
0.045,115.575,227.567
0.077,131.335,217.651
0.079,120.501,215.877
0.079,116.517,209.909
0.077,116.04,203.189
0.078,116.01,213.921
0.118,112.445,208.234
0.149,84.65,213.976
0.109,95.875,236.837
0.133,88.824,242.053
0.203,91.25,247.304
0.085,64.152,234.608
0.133,66.479,238.468
0.12,111.158,254.338
0.23,123.484,253.797
0.2,118.764,240.651
0.187,105.682,233.67
0.276,126.392,231.645
0.252,123.337,215.622
0.275,130.081,219.008
0.28,130.175,212.092
0.083,141.876,206.966
0.101,152.433,201.011
0.105,148.264,191.855
0.088,139.114,181.634
0.079,125.119,177.452
0.12,125.731,188.547
0.079,83.956,186.039
0.078,76.175,195.087
0.078,96.616,196.738
0.16,136.688,225.34
0.229,154.119,240.446
0.287,148.766,247.514
0.349,152.465,247.881
0.37,158.62,266.113
0.415,145.882,269.785
0.457,165.919,299.868
0.357,166.29,309.366
0.349,167.564,321.102
0.302,174.428,312.827
0.269,152.348,290.961
0.307,140.729,274.146
0.32,140.741,254.875
0.311,116.044,241.839
0.317,111.589,224.173
0.315,100.198,233.929
0.314,100.648,221.727
0.349,87.383,228.707
0.256,87.105,222.221
0.275,69.406,228.006
0.216,68.059,219.755
0.275,89.691,232.671
0.244,92.477,233.375
0.297,108.872,249.106
0.306,101.354,270.382
0.394,102.995,286.824
0.326,85.453,289.008
0.392,116.456,291.638
0.524,143.06,290.375
0.632,146.193,298.316
0.588,128.803,265.303
0.515,86.112,224.503
0.628,99.769,234.746
0.684,106.502,246.533
0.68,130.077,241.746
0.649,115.132,242.301
