X,Y,Z,Rock,Land,Cd,Cu,Pb,Co,Cr,Ni,Zn
3.675,4.293,0,3,2,0.89,4.4,26.76,8.6,37.68,22.96,66
3.681,5.69,0,2,2,1.898,15.16,59.2,12.64,54,28.36,86
2.461,3.423,0,5,4,0.37,15.72,29.36,3.14,22.6,6.08,47.2
4.576,1.411,0,2,3,1.38,15.64,34.44,11.28,37.6,25.76,71.6
2.223,0.58,0,2,3,0.285,14.16,44,9.6,38,24.52,76
3.031,1.201,0,3,3,0.61,16.4,52.56,6.44,21.84,10.36,51.24
3.347,2.505,0,2,1,0.625,5.36,41.2,6.96,33.2,19.2,43.6
2.465,4.003,0,1,3,0.325,9.72,24.64,3.19,21.4,4.72,35.08
3.175,2.102,0,2,3,1.985,18.92,42.68,12.2,38.4,37.2,89.84
3.733,0.974,0,2,3,0.95,15.4,36.6,8.92,40.8,26.52,74
3.085,1.677,0,2,3,2.04,26.2,63.92,11.8,40.4,29.8,107.2
2.595,3.638,0,5,3,0.325,17.52,44.4,3.71,14.52,4.76,40.8
4.279,3.283,0,2,3,0.83,19.2,36.36,13.36,33.6,24.64,84.4
2.933,0.978,0,3,2,0.8,166.4,146.8,12.4,31.44,16,100.4
3.59,4.033,0,3,2,2.08,11.52,37.56,7.92,56.4,24.84,79.6
2.883,1.237,0,1,3,2.55,12.12,36.56,8.52,31.24,16.12,96.96
2.429,1.62,0,3,3,2.235,31.96,77.6,11.84,52.4,26.64,126.8
2.333,2.417,0,5,3,1.435,53.2,107.6,9.12,37.44,21.32,110.32
0.626,1.652,0,2,1,0.375,4.2,37.12,7.28,33.32,14.4,46.4
2.969,0.778,0,2,2,1.93,77.32,157.28,12.44,43.04,33.76,166.28
0.971,1.576,0,3,3,1.215,9.8,35.64,10.08,29.28,15.2,64
1.392,1.846,0,3,3,1.05,7.44,37.68,10.6,39.24,20,48.4
2.54,3.32,0,3,3,1.26,17.2,53.6,9.76,45.32,17.6,62.8
1.738,1.771,0,3,3,0.685,19.64,41.6,11.92,33.64,16.24,76
2.243,3.031,0,3,3,0.705,19.2,34,11.8,29.92,14.6,59.88
3.656,2.63,0,2,1,1.385,9.23,80.4,2.07,9.72,5.36,49.2
2.325,4.143,0,1,3,0.505,14,33.24,5.48,34,10.92,54.4
4.55,1.416,0,2,3,1.74,18.1,41.6,12.4,44.32,27.72,73.6
4.325,1.436,0,5,3,0.56,19.4,36.76,11.6,26.92,13.72,57.2
3.669,4.291,0,3,2,1.917,8.4,35.12,8.44,33.48,18.72,59.6
1.877,1.186,0,1,3,0.32,26.16,45.2,3.8,18.2,6.44,39.88
3.044,1.123,0,3,3,0.63,18.04,38.24,12,31.28,18.68,80.76
3.001,2.581,0,2,2,4.18,8.2,42.04,9.6,45.32,22.2,81.72
3.136,2.091,0,2,3,1.11,17.92,38.72,14.2,34.8,30.32,79
2.633,3.65,0,5,3,0.425,16.2,50.4,3.09,22.12,5.04,61.6
3.721,4.239,0,3,3,0.28,18,41.2,8,25.96,12.28,46.4
2.333,2.367,0,5,3,1.39,59.16,101.92,12.36,42.12,28.2,135.88
4.038,2.354,0,4,1,2.805,10.5,44,12.2,39.2,32.92,65.6
3.117,1.702,0,2,3,1.71,30,58.6,14.12,42.8,35,106.36
1.824,0.999,0,1,3,0.165,23.64,56.4,3.75,18.6,7.08,44
2.85,1.89,0,2,1,1.36,8.68,53.6,2.81,10.76,7.08,28.88
2.502,3.988,0,1,3,0.24,20.72,22.36,3.76,18.92,5.2,32.24
1.443,1.509,0,5,3,1.445,15.4,50.8,7.76,61.2,20.68,75.6
2.008,1.35,0,1,3,0.515,16.04,35.04,5,32.56,8.96,50.4
2.978,4.009,0,5,3,0.56,8.35,25.4,6.52,24.4,12.4,49.2
1.662,1.425,0,3,3,0.905,44.4,82,11.24,37.4,16.56,78.4
1.587,1.08,0,1,3,0.605,26.24,54,5.16,29.28,11.44,54
3.994,3.814,0,5,3,2.423,32.52,80.4,14.48,45.6,28.32,84
4.383,2.279,0,2,1,0.785,6.72,43.6,7.48,35.92,22.72,60.8
2.901,4.919,0,1,1,0.81,5.48,28.8,4.64,28.6,14.92,42
4.156,1.242,0,4,2,1.1,5.72,32.48,7.84,32.2,17.92,44
4.475,3.526,0,2,4,0.951,38.96,78.8,15.28,29.36,20.36,70.8
2.58,3.654,0,5,3,0.275,7.48,20.2,3.55,16.2,4.64,33.44
0.701,1.997,0,3,1,1.58,9.84,64.8,12.6,60.8,32.2,86
3.649,3.887,0,2,3,1.06,26.44,51.2,11.48,41.6,29.24,80.8
2.623,0.853,0,3,3,2.58,29.24,59.2,11.64,45.2,27.36,106.4
1.315,1.975,0,3,2,3.68,14.44,56.4,11.12,52,28.72,89.6
3.656,2.67,0,2,1,1.875,9.52,70,11.12,36.12,25.4,65.2
4.426,0.821,0,2,2,0.805,8.76,27.2,13,48.32,26,61.6
2.882,3.693,0,5,3,0.535,8.76,27.04,4.6,20.8,5.4,32.92
1.108,1.535,0,3,2,2.055,60,195.6,8.08,50.4,23.16,108
4.48,1.089,0,2,2,0.555,10.8,36.52,10.28,27.64,19.6,64.8
1.468,2.192,0,3,2,1.51,10.88,44.4,10.92,57.6,30.68,80.4
2.319,4.103,0,1,3,0.58,20.52,34.88,5.48,36,10.92,50.4
3.585,4.04,0,3,2,1.97,24.64,66,8,51.2,25.76,99.2
3.647,3.786,0,2,3,0.765,42,70.8,13.84,29.72,20.96,90.8
2.31,2.732,0,2,2,0.735,17.68,39.2,12.72,39,23.24,79.04
3.962,2.009,0,2,3,1.445,42.92,78.4,12.4,43.52,34.4,104.4
3.47,5.555,0,2,2,2.234,12.52,48.4,13.48,45.2,29.68,64
1.839,0.995,0,1,3,0.225,27.72,55.6,4.24,24.88,10.12,56
1.706,1.165,0,1,3,0.74,25.52,60.8,4.36,20.4,8.68,62.4
2.774,1.544,0,3,2,1.915,19.32,45.72,8.44,42.32,20.64,90.24
3.493,5.092,0,1,2,3.421,14.8,34.32,9.8,52.4,20.44,134.4
1.695,3.227,0,1,1,1.835,10.88,56.68,5.88,35.08,21.44,97.48
4.409,1.084,0,5,3,1.77,18.92,48.8,17.32,37.72,27,89.2
2.596,3.212,0,3,2,3.995,15.92,45.16,8.64,49.72,22,118.24
1.897,1.22,0,1,3,0.26,9.24,27,3.48,16.24,4.76,27.2
2.083,1.695,0,2,1,0.44,11.28,56.4,6,29.28,16.68,54.8
3.673,4.278,0,3,2,1.015,7.36,34,9.28,44,19.28,70.4
2.731,3.002,0,2,1,0.485,6.6,32.44,9,27.32,20.92,57.96
4.264,3.391,0,2,3,2.828,79.2,135.2,11.16,32.64,24.96,132.8
3.792,2.707,0,2,1,1.38,6.44,45.6,8.16,26.92,17.12,55.2
3.39,1.048,0,2,2,1.66,24.6,57.28,10.12,42.92,29.32,123.32
3.184,5.075,0,3,3,0.685,11.36,23.68,7.08,33.76,16.32,53.6
3.644,2.677,0,2,1,0.93,6.77,51.2,9.56,37.4,23.12,56.4
3.504,5.13,0,1,2,5.129,14.76,36.8,8.6,39.24,18.28,135.6
2.242,3.036,0,3,3,0.725,17,34.08,10.32,26.32,12.72,56.72
3.332,4.628,0,5,2,0.74,96,59.2,4.52,35.92,17.2,83.2
3.498,3.196,0,2,2,0.99,14.5,36.24,15.12,32.8,22.92,65.6
1.883,1.176,0,1,3,0.195,25.12,49.6,3.92,21.8,7.52,43.2
3.322,3.001,0,5,3,1.34,25.3,44.4,14.32,35,23.12,81.2
1.047,1.922,0,3,2,1.24,18.32,52,14.2,43.6,22.52,83.2
3.843,3.121,0,5,3,1.84,33.32,44.4,10.8,39.52,35.28,86
1.301,0.599,0,3,4,0.91,21.2,64.8,13.24,32.84,18,75.2
1.106,1.548,0,3,2,1.27,19.12,65.2,9.16,52.8,19.44,65.2
1.114,1.535,0,3,2,1.48,106.8,226.4,9.12,58.8,26.16,140.4
1.511,0.734,0,1,2,1.245,22.64,64.4,7.84,47.2,21.96,71.2
1.317,1.501,0,5,3,1.385,120.8,66.4,6.44,42.8,19.64,94.8
1.439,1.523,0,5,3,1.72,16.4,52.4,7.24,54.8,16.52,75.6
1.651,1.157,0,1,4,0.525,26.28,46.4,3.88,20.84,8.36,49.6
1.701,1.169,0,1,3,0.69,17.04,52.4,4.24,23.48,9.04,45.6
1.857,0.659,0,3,2,3.53,66,118,10.08,52.8,24.44,124.8
1.346,1.954,0,3,2,0.93,9,38.12,10.56,39.04,20.24,69.2
1.354,1.966,0,3,2,1.165,8.64,38.32,10.72,43.6,24,59.6
1.35,1.97,0,3,2,3.81,17.92,64.8,10.12,60.8,27.08,102
1.932,1.004,0,1,3,0.135,10.44,37,4.52,15.08,5.24,32.56
1.837,1.037,0,1,3,0.215,23.44,46.8,3.88,23,8.16,44
1.69,1.858,0,3,3,1.775,29.76,54.8,12.96,38.72,22.36,91.6
1.72,1.833,0,3,3,0.585,24.36,50,11.6,31.68,15.96,76.8
1.543,2.537,0,2,3,1.563,26.72,52.4,10.4,45.2,28.72,104
2.353,1.274,0,1,3,0.275,8.24,32.56,4.32,15.4,4.2,37.88
1.889,2.462,0,2,1,2.505,12.16,65.2,10.2,48.4,31.04,78.4
2.327,2.417,0,5,3,1.385,58.72,116.48,9.68,39.72,22.6,123
2.504,1.965,0,2,2,1.79,19.92,62.36,10.44,41.84,25.64,80.32
2.599,1.996,0,2,3,2.115,61.32,172.12,13.16,43.08,53.2,133.88
2.561,1.984,0,2,2,1.63,18.08,63.16,13.56,51.36,42.92,77.4
2.898,1.274,0,1,3,2.7,15.56,38.28,6.52,32.76,15,99.6
2.902,1.263,0,1,3,4.495,10.24,32.92,10.32,39.16,22.64,101.68
3.085,1.214,0,3,3,0.765,37.6,68.4,7.68,18.52,11.28,86.2
3.046,1.205,0,3,3,0.4,9.6,32.76,11.16,21.64,13.36,44
3.025,1.201,0,3,3,0.32,12.92,40.2,5.6,18.52,7.2,43.72
2.04,3.153,0,1,3,0.655,17.2,41.88,5,16.56,8.24,51.24
2.234,2.737,0,2,2,1.11,10.28,47.8,14.6,39.28,24.44,71.12
2.22,2.732,0,2,2,0.77,16,44.4,12.28,43.48,23.88,62.28
2.224,2.728,0,2,2,1.205,11.36,41.04,13.8,46.84,27.44,85.52
2.58,2.311,0,2,2,1.555,15.4,51.24,8.84,40.16,23.92,77.56
2.254,3.045,0,3,3,0.575,31.8,54.28,9.68,27.12,13.2,66.92
2.656,2.656,0,2,3,0.525,79.2,138.56,12.52,26.12,18,91.48
3.465,1.393,0,3,3,0.705,48.72,86.68,12.52,28.72,17.6,96.6
2.553,3.314,0,3,3,0.99,9.28,38,8.8,38.72,15.72,60.12
2.538,3.314,0,3,3,1.655,31.52,90.36,8.96,50.6,17.32,81.6
2.402,3.979,0,1,3,0.515,13.12,26.96,4.08,30.12,8.2,43.2
2.456,3.99,0,1,3,0.35,11.6,27.68,3.27,26.32,4.92,37.16
2.537,3.768,0,1,3,0.23,8.72,26.84,3.79,18.2,5.68,32.08
2.584,3.649,0,5,3,0.305,17.12,48.4,3.72,18,5.6,44.8
3.887,1.663,0,2,3,1.535,29.6,56.8,15.2,40.72,32.4,85.6
4.412,1.088,0,5,3,1.53,17.72,47.6,17.72,39.52,26.4,80.8
2.795,3.645,0,5,3,0.3,13.4,37.76,4.24,17.32,6.32,27.12
2.837,3.679,0,5,3,0.425,4.68,22.56,5.08,22.72,8,31.48
2.832,3.676,0,5,3,0.36,4.44,18.96,6.68,26.12,11.8,28.92
3.308,2.963,0,5,3,1.06,28,50,17.32,36,23.92,78.4
3.422,2.851,0,3,3,0.9,49,70.4,9.52,38.72,26.2,94.8
3.692,2.43,0,2,1,1.61,9.44,42.8,5,19.4,8.76,31.16
4.331,1.449,0,5,3,0.95,19.6,37.88,12,29.2,18.72,61.2
4.333,1.455,0,5,3,0.82,32.1,63.2,10.32,29.8,16.72,67.6
4.502,1.167,0,5,3,0.86,12.7,37.08,12.12,28.4,20.12,61.6
3.228,3.617,0,2,3,1.835,45.92,80.4,13.32,47.4,24,90
3.768,2.775,0,2,1,0.22,6.67,31.88,10.8,26.32,17.52,45.2
3.768,2.675,0,2,1,1.095,6.2,46.8,12.12,41.32,28.8,56.8
3.798,2.694,0,2,1,0.995,5.38,51.2,9.68,32.8,19.12,54
4.59,1.414,0,2,3,0.96,16.4,30.76,11.72,35.2,21.92,64.8
4.571,1.407,0,2,3,1.4,15.24,38.4,10.72,38.64,26.4,70.8
4.745,1.372,0,2,3,0.69,16.44,34.12,11.96,35.64,23.68,66.4
4.788,1.647,0,2,3,0.72,11.4,32.68,8.8,34.08,26.72,63.2
2.974,4.937,0,1,2,2.26,12.64,36.28,5.88,36.44,21.52,77.6
2.906,4.922,0,1,1,1.13,5.92,21.6,4.32,20.32,13.2,32.84
3.109,4.729,0,1,3,0.645,8.4,28.56,3.12,22.68,8.88,42.4
3.04,4.713,0,1,3,0.63,7.24,26,3.66,23.96,9.36,36.64
3.919,3.466,0,5,3,0.86,12.8,28.6,9.76,28.4,17.48,58.8
4.189,3.045,0,4,3,1.645,35.6,67.6,8.08,46.4,20.32,90.4
3.652,4.312,0,3,1,3.149,8.24,56,10.72,51.2,27.72,98
3.894,3.805,0,5,3,0.552,50,91.2,14.32,29,20.12,79.2
3.917,3.773,0,5,3,1.568,18.4,43.6,13.56,30.36,22.28,71.6
3.925,3.779,0,5,3,0.855,11.4,29.68,14.24,29.2,21,59.6
4.252,3.292,0,2,3,0.733,39.2,65.6,11.8,26,22.24,74
4.292,3.29,0,2,3,2.08,71.6,52.8,11.92,31.68,28.64,110.8
4.283,3.278,0,2,3,0.844,21.04,34.68,13.88,37.12,26.48,90
3.53,4.999,0,1,1,0.49,4.64,31.64,7.44,34.52,16.76,56.8
4.07,4.157,0,3,3,1.916,45.6,50,14.36,47.6,28.44,90.8
4.61,3.315,0,2,1,1.384,7.48,48,12.68,30.76,20.72,46.8
3.605,5.345,0,3,3,0.849,18.4,35,9.04,29.48,17.56,58
2.672,3.558,0,5,3,1.57,18.6,38.2,8.28,37.12,18.6,65.2
3.589,4.443,0,1,3,2.045,11.48,33.36,10.8,40.8,21.52,112.8
4.01,4.713,0,1,2,1.203,13.04,26.56,12,53.2,23.92,91.6
2.942,3.137,0,5,2,0.49,5.64,25.88,10.92,23.4,14.6,41.2
1.409,2.748,0,3,3,0.692,10.32,31.16,8.12,27.16,14.64,50.4
3.978,2.91,0,2,1,1.75,8.36,37.72,9.12,35.48,26.4,63.2
2.715,2.1,0,2,1,0.415,4.44,41,9.12,30.32,24.24,53.16
3.87,0.762,0,3,2,0.685,10.92,30.84,11.72,31.92,13.12,49.28
2.445,2.521,0,2,3,0.92,30.28,68.12,10.56,49.04,31.52,102.72
3.827,2.219,0,2,1,2.12,7.35,54.4,6.36,23,14.52,72.4
2.488,1.064,0,1,3,0.495,17.08,46.8,8.52,31.4,16.12,57.6
1.646,0.524,0,2,2,1.06,18.88,55.2,14.44,37.28,25.24,76.4
3.136,2.37,0,4,1,0.79,3.98,35.28,5.2,33.12,14.92,32.6
3.74,5.134,0,1,1,0.772,8.16,30.16,10.84,39.04,24.24,56.8
1.678,2.327,0,3,3,1.188,31.36,72.4,9.68,37.44,22.36,108.4
4.399,3.18,0,4,3,1.615,91.2,108.8,11.96,34.56,30.2,156.8
3.935,4.368,0,3,3,3.023,19.72,45.6,12.76,40.8,25.36,105.2
3.33,1.604,0,3,3,2.315,113.12,144.36,9.92,56.2,25.4,147.4
3.557,2.64,0,2,1,2.65,12.3,54.4,8.84,25.72,18.92,58.4
1.376,0.945,0,1,3,3.78,32.76,94.4,9.68,42.8,23.52,175.2
2.024,2.251,0,3,3,1.805,55.6,142,12.6,38,23.12,124.8
3.31,4.594,0,5,3,1.58,56.4,93.6,5.8,40.4,22.52,108.8
4.097,1.798,0,2,4,1.93,19.3,46.4,13.8,45,35.72,90
2.326,3.633,0,1,3,0.415,18.32,31.92,2.36,20.12,6.28,40.72
3.514,4.098,0,3,2,0.675,9.24,27.24,6.56,26,11.64,50
3.168,4.173,0,1,3,0.745,8.52,30.28,3.94,26.56,15.4,52.4
4.292,1.039,0,5,3,1.42,18.8,36.48,11.12,27.52,20.6,63.2
2.834,0.988,0,3,2,1.425,13.32,53.6,15.24,49.2,25.56,108.8
4.443,1.723,0,5,2,1.31,17.7,48.4,12.72,34.8,19.6,80.4
3.482,2.295,0,2,2,1.765,127,300,10.32,40.52,30.8,192
3.665,4.789,0,1,3,0.647,9.76,21.76,8.72,31.12,13.88,60.8
4.173,2.144,0,2,2,1.81,17.9,48.8,13.2,44.12,29.6,92.8
2.143,1.139,0,1,3,0.394,39.56,105.6,4.44,21.64,8.92,72.4
3.061,2.025,0,2,3,1.6,20.6,35.72,10.92,37.72,25.32,92.64
2.985,1.679,0,2,3,1.675,22.92,61.44,14.4,46.28,43.68,111.08
3.438,3.752,0,2,2,1.28,13.04,43.6,6.36,31,18.6,65.2
4.637,0.956,0,2,3,0.87,16.5,35.32,12.8,33.52,22.52,78.4
3.049,5.285,0,2,1,0.8,7.68,48.4,12.4,49.2,27.16,60.4
1.106,1.366,0,1,3,0.475,22.68,55.2,3.96,22.16,7.92,46.8
3.633,2.986,0,2,3,0.855,25.5,51.6,12.4,32.92,22.32,80.4
3.708,3.331,0,2,2,1.34,10.32,41.2,9.32,28.48,23.28,58
2.909,1.334,0,1,3,1.805,28.92,74.36,6.12,24.8,11.24,111.32
2.102,2.597,0,2,3,0.825,31.2,70.4,15.32,36.52,25.36,75.44
1.797,1.215,0,1,3,0.545,33.08,58,4.24,21.8,8.88,47.2
3.255,1.253,0,3,3,1.78,154.6,239.96,11.4,41,24.52,259.84
4.129,3.601,0,2,1,2.566,7.88,55.2,10.6,32.84,23.6,59.2
3.363,3.407,0,2,2,0.61,7.86,34.84,14.8,28.52,19.32,53.2
1.452,1.29,0,1,3,0.585,15.16,56.4,5.8,39.88,13.2,51.2
4.745,3.105,0,1,1,1.436,14.2,32.68,5.24,19.44,9.52,44.8
0.491,1.862,0,3,1,2.415,21.32,48.4,7.88,32.72,18.16,49.2
2.369,2.176,0,5,3,0.75,73.12,139.16,15.6,29.76,20.2,95.68
3.676,1.528,0,3,3,0.805,38.72,88.32,11.12,32,19.52,88.16
1.257,2.057,0,3,2,0.65,12.8,41.6,11.44,37.08,19.64,52
3.903,2.565,0,2,1,0.51,5.96,62.4,1.65,3.32,1.98,60.4
1.603,1.981,0,2,4,0.705,16.04,38.24,13.04,29.84,17.92,70.4
3.395,5.21,0,3,3,1.112,13.12,25.56,9.8,36.56,19.48,65.6
2.564,1.409,0,1,4,1.31,117.6,152.8,8.44,41.6,20.4,145.2
0.912,2.132,0,2,2,2.2,11.88,51.6,10.48,60.4,30.8,78.4
3.093,3.828,0,3,3,0.45,11.5,30.92,7.96,23.2,9.36,43.2
0.836,1.787,0,3,3,0.825,12.96,50,14.32,40.8,22.84,80.4
2.758,0.643,0,2,1,1.245,13.08,88,8.08,39.56,18.64,86.8
3.017,3.482,0,2,2,1.09,8.8,26.32,12.8,38.72,18.8,59.2
3.212,2.716,0,3,3,0.78,29.8,60.4,12.52,35.52,24,75.6
4.022,1.453,0,2,2,1.95,22.6,52,10.6,47,36.72,100
4.054,3.256,0,2,3,1.31,21.16,52.8,8.92,35.04,20.08,78.8
2.521,2.867,0,2,2,1.585,11.4,39.36,13.2,42,33.12,75.64
3.319,4.864,0,1,2,0.52,6.04,21.12,5.08,32.68,15.4,37.52
2.823,4.249,0,1,1,1.005,7.08,35.4,5.36,18.12,8.2,51.6
1.722,0.869,0,1,3,0.57,21.36,67.2,4.08,24.88,9.68,56.8
2.251,3.288,0,5,3,0.33,5.72,18.68,1.92,14.92,4.68,26.8
1.182,1.711,0,3,2,2.535,8.72,55.6,12.56,70,26.24,71.6
1.83,3.018,0,3,3,2.685,32.68,69.32,10.12,43.52,27.88,111.76
3.752,1.874,0,2,2,0.69,20.8,55.6,13.6,37.6,28.4,80.4
2.218,1.485,0,1,2,0.375,19.36,45.2,12.04,34.08,16.36,70
1.873,1.56,0,3,3,1.955,26.08,60.4,9.68,37.88,20.88,110.8
3.6,1.183,0,2,3,1.185,22.72,49.72,10,34.2,27.4,89.88
2.887,4.889,0,1,1,1.325,5.4,37.52,3.74,27.64,14.44,46.4
1.527,1.636,0,3,3,0.795,42,84.8,7.92,27.4,13.2,78.8
1.333,2.407,0,2,3,1.63,20.56,46,13.4,43.6,37.52,98.4
2.413,0.718,0,3,3,0.677,11.92,38.16,12.48,34.52,23.92,69.2
